base_word,pos_kr,pos_tag,level,homonym
퇴근,명사,Noun,1,False
특별하다,형용사,Adjective,1,False
특히,부사,Adverb,1,False
티셔츠,명사,Noun,1,False
파티,명사,Noun,1,False
팔,관형사,Determiner,1,False
팔,명사,Noun,1,True
팔,수사,Noun,1,True
팔다,동사,Verb,1,False
팔십,관형사,Determiner,1,False
팔십,수사,Noun,1,False
팔월,명사,Noun,1,False
편의점,명사,Noun,1,False
편지,명사,Noun,1,False
포도,명사,Noun,1,False
표,명사,Noun,1,False
프랑스,명사,Noun,1,False
프로그램,명사,Noun,1,False
피곤,명사,Noun,1,False
피아노,명사,Noun,1,False
피우다,동사,Verb,1,False
필요,명사,Noun,1,False
필통,명사,Noun,1,False
하나,수사,Noun,1,False
하다,동사,Verb,1,False
하루,명사,Noun,1,False
하숙집,명사,Noun,1,False
하지만,부사,Adverb,1,False
학교,명사,Noun,1,False
학생,명사,Noun,1,False
학생증,명사,Noun,1,False
한,관형사,Determiner,1,False
한가하다,형용사,Adjective,1,False
한국,명사,Noun,1,False
한복,명사,Noun,1,False
할머니,명사,Noun,1,False
할아버지,명사,Noun,1,False
함께,부사,Adverb,1,False
형,명사,Noun,1,False
호,의존명사,Noun,1,False
호텔,명사,Noun,1,False
혼자,부사,Adverb,1,False
혼자,명사,Noun,1,False
화요일,명사,Noun,1,False
화장실,명사,Noun,1,False
회사,명사,Noun,1,False
회사원,명사,Noun,1,False
회의,명사,Noun,1,False
후,명사,Noun,1,False
휴가,명사,Noun,1,False
흐리다,형용사,Adjective,1,False
힘들다,형용사,Adjective,1,False
가까이,부사,Adverb,2,False
가까이,명사,Noun,2,False
가끔,부사,Adverb,2,False
가늘다,형용사,Adjective,2,False
가득,부사,Adverb,2,False
가리키다,동사,Verb,2,False
가슴,명사,Noun,2,False
가위,명사,Noun,2,False
가져가다,동사,Verb,2,False
가져오다,동사,Verb,2,False
각각,부사,Adverb,2,False
각각,명사,Noun,2,False
간단하다,형용사,Adjective,2,False
간단히,부사,Adverb,2,False
간식,명사,Noun,2,False
간장,명사,Noun,2,False
간호사,명사,Noun,2,False
갈색,명사,Noun,2,False
갈아입다,동사,Verb,2,False
감기약,명사,Noun,2,False
감다,동사,Verb,2,True
감다,동사,Verb,2,True
감자,명사,Noun,2,False
갑자기,부사,Adverb,2,False
강,명사,Noun,2,False
강아지,명사,Noun,2,False
강하다,형용사,Adjective,2,False
갖다,명사,Noun,2,False
갚다,동사,Verb,2,False
개월,의존명사,Noun,2,False
거,의존명사,Noun,2,False
거리,명사,Noun,2,True
거리,명사,Noun,2,True
거울,명사,Noun,2,False
거의,부사,Adverb,2,False
거의,명사,Noun,2,False
거절,명사,Noun,2,False
거짓말,명사,Noun,2,False
걱정,명사,Noun,2,False
건너가다,동사,Verb,2,False
건너다,동사,Verb,2,False
걸어가다,동사,Verb,2,False
걸어오다,동사,Verb,2,False
걸음,명사,Noun,2,False
검사,명사,Noun,2,False
검은색,명사,Noun,2,False
검정,명사,Noun,2,False
겉,명사,Noun,2,False
게으르다,형용사,Adjective,2,False
결과,명사,Noun,2,False
결석,명사,Noun,2,False
결심,명사,Noun,2,False
결정,명사,Noun,2,False
결혼,명사,Noun,2,False
결혼식,명사,Noun,2,False
경기,명사,Noun,2,False
경찰,명사,Noun,2,False
경찰서,명사,Noun,2,False
경치,명사,Noun,2,False
경험,명사,Noun,2,False
계단,명사,Noun,2,False
